No.,Sex,Habitat,Behaviour,Weight,Length,Plastron length,Gular length,Mid width,Curved width,Rear width
G87,M,Open,Fight,1126,209,151,24,117,229,118
G88,M,Open,Fight,1022,189,143,22,114,217,118.1
G89,M,Scrub,Fight,1275,209,146,30,126.3,240,119.1
G90,M,Scrub,Fight,1054,205,139,30,118.3,216,116.2
G91,M,Open,Fight,1410,225,164,37,126.8,250,134.3
G92,M,Open,Fight,1131,204,154,25,120.5,222,119
G93,M,Open,Fight,1131,213,152,31,125,227,124.2
G94,M,Scrub,Fight,1315,219,165,28,129.3,235,128.2
G95,M,Scrub,Fight,964,202,147,34,1167,215,113
G96,M,Scrub,Fight,1039,197,154,25,114.3,207,119.7
G97,M,Open,Fight,1033,197,150,26,116.5,213,117.2
G98,F,Bush edge,Passive,905,181,148,16,118.5,217,113.8
G99,F,In bush,Passive,916,171,134,18,110.1,205,106.3
G100,F,In bush,Passive,775,160,127,19,101.5,191,102.2
G101,F,In bush,Passive,981,170,189,16,113.2,210,110.6
G102,F,Scrub,Passive,1075,175,136,17,121,224,109.7
G103,F,Scrub,Passive,1007,177,138,19,115.2,202,111.9
G104,F,Scrub,Passive,978,178,138,21,112.4,204,106.1
G105,F,Scrub,Passive,951,172,139,18,112.4,207,105
G106,F,Scrub,Walking,584,145,123,12,109.8,171,91.6
G107,F,Open,Walking,1103,184,149,19,119.6,215,114.3
G108,F,Scrub,Passive,1062,175,140,19,113.1,210,116.1
G109,M,Open,Fight,682,167,129,22,109.8,180,104.1
S95,M,Open,Fight,1210,220,197,29,128.9,227,130.2
S96,M,Open,Fight,1059,196,138,26,119.7,224,113.3
S97,M,Open,Fight,876,184,195,23,110.3,211,115.3
S98,M,Under tree,Fight,1023,191,146,24,123,222,117.2
S99,M,Under tree,Fight,962,194,140,24,115.4,213,118
S100,M,Scrub,Fight,936,193,146,21,118.3,212,118.3
S101,M,Scrub,Fight,729,174,131,20,106.8,193,106.8
S102,F,Scrub,Passive,978,183,141,16,110,200,108.1
S103,F,Open,Passive,965,178,140,17,105.2,204,110.5
S104,M,Open,Fight,915,184,142,21,113.2,202,114.1
S105,M,Open,Walking,1270,213,157,26,127.2,245,123.9
S106,F,Scrub,Walking,1038,183,144,19,116.5,216,111.7
